Date,Parameter,Denominator,Value
2022-07-01,Initial staff 初期人数​,Number of Headcounts 人数,199.0
2022-07-01,Staff onboarded 入职人数​,Number of Headcounts 人数,2.0
2022-07-01,Staff resigned离职人数​,Number of Headcounts 人数,4.0
2022-07-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,197.0
2022-07-01,Turnover of staff  离职率,Percentage 百分比,0.1061
2022-07-01,Vacancy 空缺人数​,Number of Headcounts 人数,11.0
2022-07-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,35.0
2022-07-01,People Managers 有下属的经理,Number of Headcounts 人数,46.0
2022-07-01,Individual Contributors 无下属员工,Number of Headcounts 人数,80.0
2022-07-01,People Managers 无下属的经理,Number of Headcounts 人数,68.0
2022-08-01,Initial staff 初期人数​,Number of Headcounts 人数,197.0
2022-08-01,Staff onboarded 入职人数​,Number of Headcounts 人数,2.0
2022-08-01,Staff resigned离职人数​,Number of Headcounts 人数,3.0
2022-08-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,196.0
2022-08-01,Turnover of staff  离职率,Percentage 百分比,0.123
2022-08-01,Vacancy 空缺人数​,Number of Headcounts 人数,13.0
2022-08-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,35.0
2022-08-01,People Managers 有下属的经理,Number of Headcounts 人数,43.0
2022-08-01,Individual Contributors 无下属员工,Number of Headcounts 人数,79.0
2022-08-01,People Managers 无下属的经理,Number of Headcounts 人数,69.0
2022-09-01,Initial staff 初期人数​,Number of Headcounts 人数,196.0
2022-09-01,Staff onboarded 入职人数​,Number of Headcounts 人数,6.0
2022-09-01,Staff resigned离职人数​,Number of Headcounts 人数,4.0
2022-09-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,198.0
2022-09-01,Turnover of staff  离职率,Percentage 百分比,0.1436
2022-09-01,Vacancy 空缺人数​,Number of Headcounts 人数,12.0
2022-09-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,35.0
2022-09-01,People Managers 有下属的经理,Number of Headcounts 人数,49.0
2022-09-01,Individual Contributors 无下属员工,Number of Headcounts 人数,80.0
2022-09-01,People Managers 无下属的经理,Number of Headcounts 人数,69.0
2022-10-01,Initial staff 初期人数​,Number of Headcounts 人数,198.0
2022-10-01,Staff onboarded 入职人数​,Number of Headcounts 人数,4.0
2022-10-01,Staff resigned离职人数​,Number of Headcounts 人数,2.0
2022-10-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,200.0
2022-10-01,Turnover of staff  离职率,Percentage 百分比,0.1534
2022-10-01,Vacancy 空缺人数​,Number of Headcounts 人数,14.0
2022-10-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,36.0
2022-10-01,People Managers 有下属的经理,Number of Headcounts 人数,49.0
2022-10-01,Individual Contributors 无下属员工,Number of Headcounts 人数,80.0
2022-10-01,People Managers 无下属的经理,Number of Headcounts 人数,71.0
2022-11-01,Initial staff 初期人数​,Number of Headcounts 人数,200.0
2022-11-01,Staff onboarded 入职人数​,Number of Headcounts 人数,4.0
2022-11-01,Staff resigned离职人数​,Number of Headcounts 人数,1.0
2022-11-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,203.0
2022-11-01,Turnover of staff  离职率,Percentage 百分比,0.1575
2022-11-01,Vacancy 空缺人数​,Number of Headcounts 人数,14.0
2022-11-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,38.0
2022-11-01,People Managers 有下属的经理,Number of Headcounts 人数,50.0
2022-11-01,Individual Contributors 无下属员工,Number of Headcounts 人数,81.0
2022-11-01,People Managers 无下属的经理,Number of Headcounts 人数,72.0
2022-12-01,Initial staff 初期人数​,Number of Headcounts 人数,203.0
2022-12-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2022-12-01,Staff resigned离职人数​,Number of Headcounts 人数,2.0
2022-12-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,202.0
2022-12-01,Turnover of staff  离职率,Percentage 百分比,0.168
2022-12-01,Vacancy 空缺人数​,Number of Headcounts 人数,12.0
2022-12-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,38.0
2022-12-01,People Managers 有下属的经理,Number of Headcounts 人数,50.0
2022-12-01,Individual Contributors 无下属员工,Number of Headcounts 人数,80.0
2022-12-01,People Managers 无下属的经理,Number of Headcounts 人数,72.0
2023-01-01,Initial staff 初期人数​,Number of Headcounts 人数,202.0
2023-01-01,Staff onboarded 入职人数​,Number of Headcounts 人数,2.0
2023-01-01,Staff resigned离职人数​,Number of Headcounts 人数,5.0
2023-01-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,199.0
2023-01-01,Turnover of staff  离职率,Percentage 百分比,0.0249
2023-01-01,Vacancy 空缺人数​,Number of Headcounts 人数,2.0
2023-01-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,35.0
2023-01-01,People Managers 有下属的经理,Number of Headcounts 人数,47.0
2023-01-01,Individual Contributors 无下属员工,Number of Headcounts 人数,82.0
2023-01-01,People Managers 无下属的经理,Number of Headcounts 人数,70.0
2023-02-01,Initial staff 初期人数​,Number of Headcounts 人数,199.0
2023-02-01,Staff onboarded 入职人数​,Number of Headcounts 人数,2.0
2023-02-01,Staff resigned离职人数​,Number of Headcounts 人数,4.0
2023-02-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,197.0
2023-02-01,Turnover of staff  离职率,Percentage 百分比,0.0451
2023-02-01,Vacancy 空缺人数​,Number of Headcounts 人数,1.0
2023-02-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,34.0
2023-02-01,People Managers 有下属的经理,Number of Headcounts 人数,46.0
2023-02-01,Individual Contributors 无下属员工,Number of Headcounts 人数,83.0
2023-02-01,People Managers 无下属的经理,Number of Headcounts 人数,68.0
2023-03-01,Initial staff 初期人数​,Number of Headcounts 人数,196.0
2023-03-01,Staff onboarded 入职人数​,Number of Headcounts 人数,6.0
2023-03-01,Staff resigned离职人数​,Number of Headcounts 人数,6.0
2023-03-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,197.0
2023-03-01,Turnover of staff  离职率,Percentage 百分比,0.0304
2023-03-01,Vacancy 空缺人数​,Number of Headcounts 人数,1.0
2023-03-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,33.0
2023-03-01,People Managers 有下属的经理,Number of Headcounts 人数,46.0
2023-03-01,Individual Contributors 无下属员工,Number of Headcounts 人数,83.0
2023-03-01,People Managers 无下属的经理,Number of Headcounts 人数,68.0
2023-04-01,Initial staff 初期人数​,Number of Headcounts 人数,197.0
2023-04-01,Staff onboarded 入职人数​,Number of Headcounts 人数,3.0
2023-04-01,Staff resigned离职人数​,Number of Headcounts 人数,4.0
2023-04-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,196.0
2023-04-01,Turnover of staff  离职率,Percentage 百分比,0.02
2023-04-01,Vacancy 空缺人数​,Number of Headcounts 人数,3.0
2023-04-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,34.0
2023-04-01,People Managers 有下属的经理,Number of Headcounts 人数,46.0
2023-04-01,Individual Contributors 无下属员工,Number of Headcounts 人数,82.0
2023-04-01,People Managers 无下属的经理,Number of Headcounts 人数,68.0
2023-05-01,Initial staff 初期人数​,Number of Headcounts 人数,196.0
2023-05-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2023-05-01,Staff resigned离职人数​,Number of Headcounts 人数,6.0
2023-05-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,191.0
2023-05-01,Turnover of staff  离职率,Percentage 百分比,0.031
2023-05-01,Vacancy 空缺人数​,Number of Headcounts 人数,6.0
2023-05-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,32.0
2023-05-01,People Managers 有下属的经理,Number of Headcounts 人数,46.0
2023-05-01,Individual Contributors 无下属员工,Number of Headcounts 人数,78.0
2023-05-01,People Managers 无下属的经理,Number of Headcounts 人数,67.0
2023-06-01,Initial staff 初期人数​,Number of Headcounts 人数,191.0
2023-06-01,Staff onboarded 入职人数​,Number of Headcounts 人数,3.0
2023-06-01,Staff resigned离职人数​,Number of Headcounts 人数,3.0
2023-06-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,191.0
2023-06-01,Turnover of staff  离职率,Percentage 百分比,0.0157
2023-06-01,Vacancy 空缺人数​,Number of Headcounts 人数,5.0
2023-06-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,33.0
2023-06-01,People Managers 有下属的经理,Number of Headcounts 人数,46.0
2023-06-01,Individual Contributors 无下属员工,Number of Headcounts 人数,78.0
2023-06-01,People Managers 无下属的经理,Number of Headcounts 人数,67.0
2023-07-01,Initial staff 初期人数​,Number of Headcounts 人数,191.0
2023-07-01,Staff onboarded 入职人数​,Number of Headcounts 人数,2.0
2023-07-01,Staff resigned离职人数​,Number of Headcounts 人数,2.0
2023-07-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,191.0
2023-07-01,Turnover of staff  离职率,Percentage 百分比,0.01
2023-07-01,Vacancy 空缺人数​,Number of Headcounts 人数,5.0
2023-07-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,32.0
2023-07-01,People Managers 有下属的经理,Number of Headcounts 人数,46.0
2023-07-01,Individual Contributors 无下属员工,Number of Headcounts 人数,78.0
2023-07-01,People Managers 无下属的经理,Number of Headcounts 人数,67.0
2023-08-01,Initial staff 初期人数​,Number of Headcounts 人数,191.0
2023-08-01,Staff onboarded 入职人数​,Number of Headcounts 人数,3.0
2023-08-01,Staff resigned离职人数​,Number of Headcounts 人数,3.0
2023-08-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,191.0
2023-08-01,Turnover of staff  离职率,Percentage 百分比,0.0157
2023-08-01,Vacancy 空缺人数​,Number of Headcounts 人数,5.0
2023-08-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,30.0
2023-08-01,People Managers 有下属的经理,Number of Headcounts 人数,46.0
2023-08-01,Individual Contributors 无下属员工,Number of Headcounts 人数,68.0
2023-08-01,People Managers 无下属的经理,Number of Headcounts 人数,77.0
2023-09-01,Initial staff 初期人数​,Number of Headcounts 人数,191.0
2023-09-01,Staff onboarded 入职人数​,Number of Headcounts 人数,2.0
2023-09-01,Staff resigned离职人数​,Number of Headcounts 人数,1.0
2023-09-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,192.0
2023-09-01,Turnover of staff  离职率,Percentage 百分比,0.005
2023-09-01,Vacancy 空缺人数​,Number of Headcounts 人数,5.0
2023-09-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,30.0
2023-09-01,People Managers 有下属的经理,Number of Headcounts 人数,46.0
2023-09-01,Individual Contributors 无下属员工,Number of Headcounts 人数,69.0
2023-09-01,People Managers 无下属的经理,Number of Headcounts 人数,77.0
2023-10-01,Initial staff 初期人数​,Number of Headcounts 人数,192.0
2023-10-01,Staff onboarded 入职人数​,Number of Headcounts 人数,0.0
2023-10-01,Staff resigned离职人数​,Number of Headcounts 人数,1.0
2023-10-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,191.0
2023-10-01,Turnover of staff  离职率,Percentage 百分比,0.005
2023-10-01,Vacancy 空缺人数​,Number of Headcounts 人数,3.0
2023-10-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,30.0
2023-10-01,People Managers 有下属的经理,Number of Headcounts 人数,46.0
2023-10-01,Individual Contributors 无下属员工,Number of Headcounts 人数,68.0
2023-10-01,People Managers 无下属的经理,Number of Headcounts 人数,77.0
2023-11-01,Initial staff 初期人数​,Number of Headcounts 人数,191.0
2023-11-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2023-11-01,Staff resigned离职人数​,Number of Headcounts 人数,0.0
2023-11-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,192.0
2023-11-01,Turnover of staff  离职率,Percentage 百分比,0.0
2023-11-01,Vacancy 空缺人数​,Number of Headcounts 人数,3.0
2023-11-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,30.0
2023-11-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2023-11-01,Individual Contributors 无下属员工,Number of Headcounts 人数,68.0
2023-11-01,People Managers 无下属的经理,Number of Headcounts 人数,79.0
2023-12-01,Initial staff 初期人数​,Number of Headcounts 人数,192.0
2023-12-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2023-12-01,Staff resigned离职人数​,Number of Headcounts 人数,1.0
2023-12-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,192.0
2023-12-01,Turnover of staff  离职率,Percentage 百分比,0.005
2023-12-01,Vacancy 空缺人数​,Number of Headcounts 人数,3.0
2023-12-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,29.0
2023-12-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2023-12-01,Individual Contributors 无下属员工,Number of Headcounts 人数,68.0
2023-12-01,People Managers 无下属的经理,Number of Headcounts 人数,79.0
2024-01-01,Initial staff 初期人数​,Number of Headcounts 人数,192.0
2024-01-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2024-01-01,Staff resigned离职人数​,Number of Headcounts 人数,3.0
2024-01-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,190.0
2024-01-01,Turnover of staff  离职率,Percentage 百分比,0.0157
2024-01-01,Vacancy 空缺人数​,Number of Headcounts 人数,3.0
2024-01-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,28.0
2024-01-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2024-01-01,Individual Contributors 无下属员工,Number of Headcounts 人数,67.0
2024-01-01,People Managers 无下属的经理,Number of Headcounts 人数,78.0
2024-02-01,Initial staff 初期人数​,Number of Headcounts 人数,190.0
2024-02-01,Staff onboarded 入职人数​,Number of Headcounts 人数,0.0
2024-02-01,Staff resigned离职人数​,Number of Headcounts 人数,2.0
2024-02-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,188.0
2024-02-01,Turnover of staff  离职率,Percentage 百分比,0.011
2024-02-01,Vacancy 空缺人数​,Number of Headcounts 人数,3.0
2024-02-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,27.0
2024-02-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2024-02-01,Individual Contributors 无下属员工,Number of Headcounts 人数,66.0
2024-02-01,People Managers 无下属的经理,Number of Headcounts 人数,77.0
2024-03-01,Initial staff 初期人数​,Number of Headcounts 人数,188.0
2024-03-01,Staff onboarded 入职人数​,Number of Headcounts 人数,0.0
2024-03-01,Staff resigned离职人数​,Number of Headcounts 人数,0.0
2024-03-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,188.0
2024-03-01,Turnover of staff  离职率,Percentage 百分比,0.0
2024-03-01,Vacancy 空缺人数​,Number of Headcounts 人数,11.0
2024-03-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,27.0
2024-03-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2024-03-01,Individual Contributors 无下属员工,Number of Headcounts 人数,66.0
