Date,Parameter,Denominator,Value
2024-03-01,People Managers 无下属的经理,Number of Headcounts 人数,77.0
2024-04-01,Initial staff 初期人数​,Number of Headcounts 人数,188.0
2024-04-01,Staff onboarded 入职人数​,Number of Headcounts 人数,3.0
2024-04-01,Staff resigned离职人数​,Number of Headcounts 人数,0.0
2024-04-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,191.0
2024-04-01,Turnover of staff  离职率,Percentage 百分比,0.0
2024-04-01,Vacancy 空缺人数​,Number of Headcounts 人数,11.0
2024-04-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,27.0
2024-04-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2024-04-01,Individual Contributors 无下属员工,Number of Headcounts 人数,68.0
2024-04-01,People Managers 无下属的经理,Number of Headcounts 人数,78.0
2024-05-01,Initial staff 初期人数​,Number of Headcounts 人数,191.0
2024-05-01,Staff onboarded 入职人数​,Number of Headcounts 人数,4.0
2024-05-01,Staff resigned离职人数​,Number of Headcounts 人数,4.0
2024-05-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,191.0
2024-05-01,Turnover of staff  离职率,Percentage 百分比,0.021
2024-05-01,Vacancy 空缺人数​,Number of Headcounts 人数,11.0
2024-05-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,27.0
2024-05-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2024-05-01,Individual Contributors 无下属员工,Number of Headcounts 人数,67.0
2024-05-01,People Managers 无下属的经理,Number of Headcounts 人数,79.0
2024-06-01,Initial staff 初期人数​,Number of Headcounts 人数,191.0
2024-06-01,Staff onboarded 入职人数​,Number of Headcounts 人数,3.0
2024-06-01,Staff resigned离职人数​,Number of Headcounts 人数,3.0
2024-06-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,191.0
2024-06-01,Turnover of staff  离职率,Percentage 百分比,0.0157
2024-06-01,Vacancy 空缺人数​,Number of Headcounts 人数,9.0
2024-06-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,28.0
2024-06-01,People Managers 有下属的经理,Number of Headcounts 人数,48.0
2024-06-01,Individual Contributors 无下属员工,Number of Headcounts 人数,63.0
2024-06-01,People Managers 无下属的经理,Number of Headcounts 人数,80.0
2024-07-01,Initial staff 初期人数​,Number of Headcounts 人数,191.0
2024-07-01,Staff onboarded 入职人数​,Number of Headcounts 人数,5.0
2024-07-01,Staff resigned离职人数​,Number of Headcounts 人数,2.0
2024-07-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,194.0
2024-07-01,Turnover of staff  离职率,Percentage 百分比,0.0104
2024-07-01,Vacancy 空缺人数​,Number of Headcounts 人数,5.0
2024-07-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,27.0
2024-07-01,People Managers 有下属的经理,Number of Headcounts 人数,48.0
2024-07-01,Individual Contributors 无下属员工,Number of Headcounts 人数,66.0
2024-07-01,People Managers 无下属的经理,Number of Headcounts 人数,80.0
2024-08-01,Initial staff 初期人数​,Number of Headcounts 人数,194.0
2024-08-01,Staff onboarded 入职人数​,Number of Headcounts 人数,4.0
2024-08-01,Staff resigned离职人数​,Number of Headcounts 人数,3.0
2024-08-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,195.0
2024-08-01,Turnover of staff  离职率,Percentage 百分比,0.0154
2024-08-01,Vacancy 空缺人数​,Number of Headcounts 人数,9.0
2024-08-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,28.0
2024-08-01,People Managers 有下属的经理,Number of Headcounts 人数,49.0
2024-08-01,Individual Contributors 无下属员工,Number of Headcounts 人数,66.0
2024-08-01,People Managers 无下属的经理,Number of Headcounts 人数,80.0
2024-09-01,Initial staff 初期人数​,Number of Headcounts 人数,195.0
2024-09-01,Staff onboarded 入职人数​,Number of Headcounts 人数,9.0
2024-09-01,Staff resigned离职人数​,Number of Headcounts 人数,5.0
2024-09-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,199.0
2024-09-01,Turnover of staff  离职率,Percentage 百分比,0.0254
2024-09-01,Vacancy 空缺人数​,Number of Headcounts 人数,9.0
2024-09-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,30.0
2024-09-01,People Managers 有下属的经理,Number of Headcounts 人数,49.0
2024-09-01,Individual Contributors 无下属员工,Number of Headcounts 人数,67.0
2024-09-01,People Managers 无下属的经理,Number of Headcounts 人数,83.0
2024-10-01,Initial staff 初期人数​,Number of Headcounts 人数,199.0
2024-10-01,Staff onboarded 入职人数​,Number of Headcounts 人数,4.0
2024-10-01,Staff resigned离职人数​,Number of Headcounts 人数,0.0
2024-10-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,203.0
2024-10-01,Turnover of staff  离职率,Percentage 百分比,0.0
2024-10-01,Vacancy 空缺人数​,Number of Headcounts 人数,9.0
2024-10-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,31.0
2024-10-01,People Managers 有下属的经理,Number of Headcounts 人数,48.0
2024-10-01,Individual Contributors 无下属员工,Number of Headcounts 人数,70.0
2024-10-01,People Managers 无下属的经理,Number of Headcounts 人数,85.0
2024-11-01,Initial staff 初期人数​,Number of Headcounts 人数,203.0
2024-11-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2024-11-01,Staff resigned离职人数​,Number of Headcounts 人数,1.0
2024-11-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,203.0
2024-11-01,Turnover of staff  离职率,Percentage 百分比,0.0049
2024-11-01,Vacancy 空缺人数​,Number of Headcounts 人数,8.0
2024-11-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,31.0
2024-11-01,People Managers 有下属的经理,Number of Headcounts 人数,48.0
2024-11-01,Individual Contributors 无下属员工,Number of Headcounts 人数,70.0
2024-11-01,People Managers 无下属的经理,Number of Headcounts 人数,85.0
2024-12-01,Initial staff 初期人数​,Number of Headcounts 人数,203.0
2024-12-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2024-12-01,Staff resigned离职人数​,Number of Headcounts 人数,5.0
2024-12-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,199.0
2024-12-01,Turnover of staff  离职率,Percentage 百分比,0.025
2024-12-01,Vacancy 空缺人数​,Number of Headcounts 人数,0.0
2024-12-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,30.0
2024-12-01,People Managers 有下属的经理,Number of Headcounts 人数,48.0
2024-12-01,Individual Contributors 无下属员工,Number of Headcounts 人数,67.0
2024-12-01,People Managers 无下属的经理,Number of Headcounts 人数,84.0
2025-01-01,Initial staff 初期人数​,Number of Headcounts 人数,199.0
2025-01-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2025-01-01,Staff resigned离职人数​,Number of Headcounts 人数,1.0
2025-01-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,199.0
2025-01-01,Turnover of staff  离职率,Percentage 百分比,0.005
2025-01-01,Vacancy 空缺人数​,Number of Headcounts 人数,0.0
2025-01-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,30.0
2025-01-01,People Managers 有下属的经理,Number of Headcounts 人数,48.0
2025-01-01,Individual Contributors 无下属员工,Number of Headcounts 人数,67.0
2025-01-01,People Managers 无下属的经理,Number of Headcounts 人数,84.0
2025-02-01,Initial staff 初期人数​,Number of Headcounts 人数,199.0
2025-02-01,Staff onboarded 入职人数​,Number of Headcounts 人数,0.0
2025-02-01,Staff resigned离职人数​,Number of Headcounts 人数,0.0
2025-02-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,199.0
2025-02-01,Turnover of staff  离职率,Percentage 百分比,0.0
2025-02-01,Vacancy 空缺人数​,Number of Headcounts 人数,0.0
2025-02-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,30.0
2025-02-01,People Managers 有下属的经理,Number of Headcounts 人数,48.0
2025-02-01,Individual Contributors 无下属员工,Number of Headcounts 人数,67.0
2025-02-01,People Managers 无下属的经理,Number of Headcounts 人数,84.0
2025-03-01,Initial staff 初期人数​,Number of Headcounts 人数,199.0
2025-03-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2025-03-01,Staff resigned离职人数​,Number of Headcounts 人数,0.0
2025-03-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,200.0
2025-03-01,Turnover of staff  离职率,Percentage 百分比,0.0
2025-03-01,Vacancy 空缺人数​,Number of Headcounts 人数,1.0
2025-03-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,30.0
2025-03-01,People Managers 有下属的经理,Number of Headcounts 人数,48.0
2025-03-01,Individual Contributors 无下属员工,Number of Headcounts 人数,67.0
2025-03-01,People Managers 无下属的经理,Number of Headcounts 人数,85.0
2025-04-01,Initial staff 初期人数​,Number of Headcounts 人数,200.0
2025-04-01,Staff onboarded 入职人数​,Number of Headcounts 人数,0.0
2025-04-01,Staff resigned离职人数​,Number of Headcounts 人数,1.0
2025-04-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,199.0
2025-04-01,Turnover of staff  离职率,Percentage 百分比,0.005
2025-04-01,Vacancy 空缺人数​,Number of Headcounts 人数,1.0
2025-04-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,30.0
2025-04-01,People Managers 有下属的经理,Number of Headcounts 人数,48.0
2025-04-01,Individual Contributors 无下属员工,Number of Headcounts 人数,66.0
2025-04-01,People Managers 无下属的经理,Number of Headcounts 人数,85.0
2025-05-01,Initial staff 初期人数​,Number of Headcounts 人数,199.0
2025-05-01,Staff onboarded 入职人数​,Number of Headcounts 人数,0.0
2025-05-01,Staff resigned离职人数​,Number of Headcounts 人数,2.0
2025-05-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,197.0
2025-05-01,Turnover of staff  离职率,Percentage 百分比,0.01
2025-05-01,Vacancy 空缺人数​,Number of Headcounts 人数,2.0
2025-05-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,30.0
2025-05-01,People Managers 有下属的经理,Number of Headcounts 人数,48.0
2025-05-01,Individual Contributors 无下属员工,Number of Headcounts 人数,64.0
2025-05-01,People Managers 无下属的经理,Number of Headcounts 人数,85.0
2025-06-01,Initial staff 初期人数​,Number of Headcounts 人数,197.0
2025-06-01,Staff onboarded 入职人数​,Number of Headcounts 人数,5.0
2025-06-01,Staff resigned离职人数​,Number of Headcounts 人数,4.0
2025-06-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,198.0
2025-06-01,Turnover of staff  离职率,Percentage 百分比,0.0203
2025-06-01,Vacancy 空缺人数​,Number of Headcounts 人数,2.0
2025-06-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,31.0
2025-06-01,People Managers 有下属的经理,Number of Headcounts 人数,48.0
2025-06-01,Individual Contributors 无下属员工,Number of Headcounts 人数,64.0
2025-06-01,People Managers 无下属的经理,Number of Headcounts 人数,86.0
2025-07-01,Initial staff 初期人数​,Number of Headcounts 人数,198.0
2025-07-01,Staff onboarded 入职人数​,Number of Headcounts 人数,2.0
2025-07-01,Staff resigned离职人数​,Number of Headcounts 人数,1.0
2025-07-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,199.0
2025-07-01,Turnover of staff  离职率,Percentage 百分比,0.005
2025-07-01,Vacancy 空缺人数​,Number of Headcounts 人数,1.0
2025-07-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,31.0
2025-07-01,People Managers 有下属的经理,Number of Headcounts 人数,47.0
2025-07-01,Individual Contributors 无下属员工,Number of Headcounts 人数,66.0
2025-07-01,People Managers 无下属的经理,Number of Headcounts 人数,86.0
2025-08-01,Initial staff 初期人数​,Number of Headcounts 人数,199.0
2025-08-01,Staff onboarded 入职人数​,Number of Headcounts 人数,0.0
2025-08-01,Staff resigned离职人数​,Number of Headcounts 人数,4.0
2025-08-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,195.0
2025-08-01,Turnover of staff  离职率,Percentage 百分比,0.0203
2025-08-01,Vacancy 空缺人数​,Number of Headcounts 人数,2.0
2025-08-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,29.0
2025-08-01,People Managers 有下属的经理,Number of Headcounts 人数,47.0
2025-08-01,Individual Contributors 无下属员工,Number of Headcounts 人数,65.0
2025-08-01,People Managers 无下属的经理,Number of Headcounts 人数,83.0
2025-09-01,Initial staff 初期人数​,Number of Headcounts 人数,195.0
2025-09-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2025-09-01,Staff resigned离职人数​,Number of Headcounts 人数,0.0
2025-09-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,196.0
2025-09-01,Turnover of staff  离职率,Percentage 百分比,0.0
2025-09-01,Vacancy 空缺人数​,Number of Headcounts 人数,1.0
2025-09-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,29.0
2025-09-01,People Managers 有下属的经理,Number of Headcounts 人数,47.0
2025-09-01,Individual Contributors 无下属员工,Number of Headcounts 人数,66.0
2025-09-01,People Managers 无下属的经理,Number of Headcounts 人数,83.0
2025-10-01,Initial staff 初期人数​,Number of Headcounts 人数,196.0
2025-10-01,Staff onboarded 入职人数​,Number of Headcounts 人数,2.0
2025-10-01,Staff resigned离职人数​,Number of Headcounts 人数,3.0
2025-10-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,195.0
2025-10-01,Turnover of staff  离职率,Percentage 百分比,0.0153
2025-10-01,Vacancy 空缺人数​,Number of Headcounts 人数,4.0
2025-10-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,29.0
2025-10-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2025-10-01,Individual Contributors 无下属员工,Number of Headcounts 人数,66.0
2025-10-01,People Managers 无下属的经理,Number of Headcounts 人数,84.0
2025-11-01,Initial staff 初期人数​,Number of Headcounts 人数,195.0
2025-11-01,Staff onboarded 入职人数​,Number of Headcounts 人数,3.0
2025-11-01,Staff resigned离职人数​,Number of Headcounts 人数,2.0
2025-11-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,196.0
2025-11-01,Turnover of staff  离职率,Percentage 百分比,0.0102
2025-11-01,Vacancy 空缺人数​,Number of Headcounts 人数,4.0
2025-11-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,29.0
2025-11-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2025-11-01,Individual Contributors 无下属员工,Number of Headcounts 人数,65.0
2025-11-01,People Managers 无下属的经理,Number of Headcounts 人数,86.0
2025-12-01,Initial staff 初期人数​,Number of Headcounts 人数,196.0
2025-12-01,Staff onboarded 入职人数​,Number of Headcounts 人数,1.0
2025-12-01,Staff resigned离职人数​,Number of Headcounts 人数,1.0
2025-12-01,"Final staff 期末人数​, including 3 employess of Le food (乐肴)",Number of Headcounts 人数,196.0
2025-12-01,Turnover of staff  离职率,Percentage 百分比,0.0051
2025-12-01,Vacancy 空缺人数​,Number of Headcounts 人数,4.0
2025-12-01,Quota-bearing Sales 背指标的销售,Number of Headcounts 人数,28.0
2025-12-01,People Managers 有下属的经理,Number of Headcounts 人数,45.0
2025-12-01,Individual Contributors 无下属员工,Number of Headcounts 人数,65.0
2025-12-01,People Managers 无下属的经理,Number of Headcounts 人数,86.0
